date,price_eur_mwh,temperature,wind_speed,radiation,precipitation,wind_power,solar_proxy,heating_degree,cooling_degree,hour,weekday,month,is_weekend,price_lag_24,price_lag_168,gas_price
2019-01-08 00:00:00,17.94,4.2,22.9,0.0,0.6,12008.988999999998,0.0,13.8,0.0,0,1,1,0,46.03,28.32,22.092
2019-01-08 01:00:00,20.91,4.5,23.2,0.0,0.5,12487.168,0.0,13.5,0.0,1,1,1,0,47.98,10.07,22.092
2019-01-08 02:00:00,7.78,4.8,22.2,0.0,0.6,10941.048,0.0,13.2,0.0,2,1,1,0,47.84,-4.08,22.092
2019-01-08 03:00:00,14.33,5.5,19.7,0.0,1.3,7645.373,0.0,12.5,0.0,3,1,1,0,46.11,-9.91,22.092
2019-01-08 04:00:00,18.56,5.6,21.4,0.0,2.6,9800.343999999996,0.0,12.4,0.0,4,1,1,0,46.08,-7.41,22.092
2019-01-08 05:00:00,18.57,5.3,25.1,0.0,0.3,15813.251000000002,0.0,12.7,0.0,5,1,1,0,47.62,-12.55,22.092
2019-01-08 06:00:00,35.81,4.5,25.3,0.0,0.3,16194.277000000002,0.0,13.5,0.0,6,1,1,0,55.77,-17.25,22.092
2019-01-08 07:00:00,43.87,4.3,27.0,0.0,0.4,19683.0,0.0,13.7,0.0,7,1,1,0,68.61,-15.07,22.092
2019-01-08 08:00:00,46.93,4.2,28.8,0.0,0.4,23887.872000000003,0.0,13.8,0.0,8,1,1,0,74.15,-4.93,22.092
2019-01-08 09:00:00,43.88,4.1,25.9,0.0,0.2,17373.978999999996,0.0,13.9,0.0,9,1,1,0,74.93,-6.33,22.092
2019-01-08 10:00:00,43.85,4.0,28.1,1.0,0.5,22188.041000000005,1.0,14.0,0.0,10,1,1,0,73.59,-4.93,22.092
2019-01-08 11:00:00,46.74,4.4,31.0,8.0,0.1,29791.0,8.0,13.6,0.0,11,1,1,0,71.23,0.45,22.092
2019-01-08 12:00:00,43.94,4.5,31.7,44.0,0.2,31855.013,44.0,13.5,0.0,12,1,1,0,68.79,0.12,22.092
2019-01-08 13:00:00,43.21,4.3,32.6,73.0,0.2,34645.976,73.0,13.7,0.0,13,1,1,0,66.75,-0.02,22.092
2019-01-08 14:00:00,43.81,4.4,30.6,67.0,0.3,28652.616000000005,67.0,13.6,0.0,14,1,1,0,62.47,0.0,22.092
2019-01-08 15:00:00,45.6,3.9,28.3,56.0,1.9,22665.187,56.0,14.1,0.0,15,1,1,0,53.25,-0.03,22.092
2019-01-08 16:00:00,35.21,4.2,29.0,29.0,1.2,24389.0,29.0,13.8,0.0,16,1,1,0,53.26,1.97,22.092
2019-01-08 17:00:00,45.64,4.2,32.5,18.0,0.3,34328.125,18.0,13.8,0.0,17,1,1,0,53.42,9.06,22.092
2019-01-08 18:00:00,45.63,3.8,30.4,1.0,0.2,28094.463999999996,1.0,14.2,0.0,18,1,1,0,47.91,0.07,22.092
2019-01-08 19:00:00,37.94,3.5,32.4,0.0,0.3,34012.223999999995,0.0,14.5,0.0,19,1,1,0,42.05,-4.97,22.092
2019-01-08 20:00:00,39.53,3.0,29.2,0.0,0.4,24897.088,0.0,15.0,0.0,20,1,1,0,40.96,-6.98,22.092
2019-01-08 21:00:00,35.97,2.6,25.4,0.0,0.8,16387.064,0.0,15.4,0.0,21,1,1,0,32.04,-24.93,22.092
2019-01-08 22:00:00,29.72,2.7,28.3,0.0,0.3,22665.187,0.0,15.3,0.0,22,1,1,0,20.82,-4.87,22.092
2019-01-08 23:00:00,22.55,2.0,28.7,0.0,0.2,23639.903,0.0,16.0,0.0,23,1,1,0,1.84,-28.93,22.092
2019-01-09 00:00:00,20.04,2.0,29.8,0.0,0.2,26463.592,0.0,16.0,0.0,0,2,1,0,17.94,-33.57,21.719
2019-01-09 01:00:00,7.24,1.9,28.6,0.0,0.2,23393.656000000003,0.0,16.1,0.0,1,2,1,0,20.91,-45.92,21.719
2019-01-09 02:00:00,3.43,1.7,25.5,0.0,0.3,16581.375,0.0,16.3,0.0,2,2,1,0,7.78,-48.29,21.719
2019-01-09 03:00:00,10.04,1.5,24.9,0.0,0.1,15438.248999999998,0.0,16.5,0.0,3,2,1,0,14.33,-44.99,21.719
2019-01-09 04:00:00,14.2,1.3,23.0,0.0,0.1,12167.0,0.0,16.7,0.0,4,2,1,0,18.56,-48.93,21.719
2019-01-09 05:00:00,25.41,1.1,23.2,0.0,0.1,12487.168,0.0,16.9,0.0,5,2,1,0,18.57,-29.91,21.719
2019-01-09 06:00:00,36.98,1.1,22.8,0.0,0.1,11852.352,0.0,16.9,0.0,6,2,1,0,35.81,-0.01,21.719
2019-01-09 07:00:00,43.89,1.0,22.2,0.0,0.1,10941.048,0.0,17.0,0.0,7,2,1,0,43.87,37.43,21.719
2019-01-09 08:00:00,50.98,1.0,22.9,0.0,0.1,12008.988999999998,0.0,17.0,0.0,8,2,1,0,46.93,48.06,21.719
2019-01-09 09:00:00,50.3,0.9,22.9,0.0,0.1,12008.988999999998,0.0,17.1,0.0,9,2,1,0,43.88,50.74,21.719
2019-01-09 10:00:00,50.21,0.6,22.2,2.0,0.1,10941.048,2.0,17.4,0.0,10,2,1,0,43.85,47.57,21.719
2019-01-09 11:00:00,45.8,0.6,19.8,17.0,0.2,7762.392000000001,17.0,17.4,0.0,11,2,1,0,46.74,43.94,21.719
2019-01-09 12:00:00,43.64,0.8,21.2,39.0,0.2,9528.128,39.0,17.2,0.0,12,2,1,0,43.94,40.97,21.719
2019-01-09 13:00:00,43.49,0.9,21.4,38.0,0.2,9800.343999999996,38.0,17.1,0.0,13,2,1,0,43.21,44.95,21.719
2019-01-09 14:00:00,45.05,1.1,24.8,31.0,0.1,15252.992000000002,31.0,16.9,0.0,14,2,1,0,43.81,49.64,21.719
2019-01-09 15:00:00,49.95,1.0,21.6,33.0,0.2,10077.696000000002,33.0,17.0,0.0,15,2,1,0,45.6,53.67,21.719
2019-01-09 16:00:00,53.82,0.8,22.5,27.0,0.3,11390.625,27.0,17.2,0.0,16,2,1,0,35.21,56.01,21.719
2019-01-09 17:00:00,55.94,0.7,21.8,12.0,0.3,10360.232000000002,12.0,17.3,0.0,17,2,1,0,45.64,56.95,21.719
2019-01-09 18:00:00,54.19,0.6,21.1,1.0,0.2,9393.931000000002,1.0,17.4,0.0,18,2,1,0,45.63,62.08,21.719
2019-01-09 19:00:00,54.19,0.4,20.2,0.0,0.2,8242.408,0.0,17.6,0.0,19,2,1,0,37.94,62.11,21.719
