latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,9.945653,230.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),wind_speed_10m (km/h),shortwave_radiation (W/m²),precipitation (mm)
2019-01-01T00:00,6.4,13.5,0.0,0.00
2019-01-01T01:00,6.2,14.7,0.0,0.00
2019-01-01T02:00,6.2,15.3,0.0,0.00
2019-01-01T03:00,6.6,16.6,0.0,0.00
2019-01-01T04:00,6.4,17.2,0.0,0.00
2019-01-01T05:00,6.2,21.6,0.0,0.10
2019-01-01T06:00,5.8,23.3,0.0,0.10
2019-01-01T07:00,5.5,24.8,0.0,0.00
2019-01-01T08:00,5.3,22.1,0.0,0.00
2019-01-01T09:00,5.2,22.7,0.0,0.10
2019-01-01T10:00,5.1,22.9,1.0,0.20
2019-01-01T11:00,5.2,23.1,8.0,0.20
2019-01-01T12:00,5.6,22.4,16.0,0.20
2019-01-01T13:00,5.7,22.0,14.0,0.20
2019-01-01T14:00,5.9,20.7,23.0,0.20
2019-01-01T15:00,5.9,23.0,26.0,0.30
2019-01-01T16:00,5.8,21.4,62.0,0.00
2019-01-01T17:00,5.2,21.4,36.0,0.00
2019-01-01T18:00,4.7,24.6,1.0,0.10
2019-01-01T19:00,4.3,24.7,0.0,0.50
2019-01-01T20:00,3.3,25.7,0.0,0.30
2019-01-01T21:00,3.2,27.1,0.0,0.10
2019-01-01T22:00,2.3,26.3,0.0,0.10
2019-01-01T23:00,1.7,27.2,0.0,0.20
2019-01-02T00:00,1.8,26.3,0.0,0.20
2019-01-02T01:00,1.5,23.4,0.0,0.00
2019-01-02T02:00,1.3,22.2,0.0,0.10
2019-01-02T03:00,1.8,23.0,0.0,0.10
2019-01-02T04:00,1.9,24.2,0.0,0.10
2019-01-02T05:00,2.1,24.9,0.0,0.00
2019-01-02T06:00,1.9,21.4,0.0,0.00
2019-01-02T07:00,1.7,19.6,0.0,0.00
2019-01-02T08:00,1.5,18.8,0.0,0.00
2019-01-02T09:00,1.1,17.6,0.0,0.00
2019-01-02T10:00,0.6,19.5,6.0,0.10
2019-01-02T11:00,1.8,20.6,59.0,0.00
2019-01-02T12:00,2.5,21.3,150.0,0.10
2019-01-02T13:00,2.7,25.2,205.0,0.00
2019-01-02T14:00,2.7,23.6,237.0,0.00
2019-01-02T15:00,2.5,22.3,209.0,0.00
2019-01-02T16:00,2.0,21.3,150.0,0.00
2019-01-02T17:00,1.2,20.3,57.0,0.00
2019-01-02T18:00,0.8,18.1,2.0,0.00
2019-01-02T19:00,0.6,17.4,0.0,0.00
2019-01-02T20:00,0.3,15.9,0.0,0.00
2019-01-02T21:00,-0.1,14.7,0.0,0.00
2019-01-02T22:00,-0.9,13.5,0.0,0.00
2019-01-02T23:00,-1.9,11.3,0.0,0.00
2019-01-03T00:00,-2.7,9.7,0.0,0.00
2019-01-03T01:00,-3.2,8.7,0.0,0.00
2019-01-03T02:00,-3.2,7.6,0.0,0.00
